NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
ALGAR,04030023541,22212023,1012076870,ROD SP 330,"KM 345,5",SP,3544905,200KG7W,GSM,874.5,829.5,60,,,56001603518,14.4,25,68,0,50,110322001350,80,-20.89882,-47.89361,2023-04-25,2021-07-05,2028-11-29,20240103,1,60.0,4.789104999999999
ALGAR,04030023541,22212023,1012076870,ROD SP 330,"KM 345,5",SP,3544905,200KG7W,GSM,874.5,829.5,165,,,56001603518,14.4,25,68,0,50,110322001350,80,-20.89882,-47.89361,2023-04-25,2021-07-05,2028-11-29,20240103,2,165.0,4.789104999999999
ALGAR,04030023541,22212023,1012076870,ROD SP 330,"KM 345,5",SP,3544905,200KG7W,GSM,874.5,829.5,355,,,56001603518,14.4,25,68,0,50,110322001350,80,-20.89882,-47.89361,2023-04-25,2021-07-05,2028-11-29,20240103,4,355.0,4.789104999999999
ALGAR,04030023541,22212023,1012076889,ROD SP 330,KM 355,SP,3544905,200KG7W,GSM,953.75,908.75,181,,,007290201293,17.5,25,65,0,70,002920501171,70.79,-20.81231,-47.89296,2023-04-25,2021-07-05,2028-11-29,20240103,3,181.0,3.54345
ALGAR,04030023541,22212023,1012076889,ROD SP 330,KM 355,SP,3544905,200KG7W,GSM,1825|953.75,1730|908.75,358,,,013840801705,18.5|13.52,32|20,66|68,0,70,002940501171|002920501171,46.13|70.79,-20.81231,-47.89296,2023-04-25,2021-07-05,2028-11-29,20240103,4,358.0,3.54345
ALGAR,04030023541,22212023,1012108900,RUA VOLUNTARIO NELIO GUIMARAES,,SP,3544905,200KG7W|5M00G7W|5M00G9W,GSM|LTE|WCDMA,1825|874.5,1730|829.5,60,,,028661005344,16.8|16.9,28|25,65|70,0,50,015121601350|032341303903,60|65,-20.77106,-47.84091,2023-04-25,2021-07-12,2028-11-29,20240103,1,60.0,3.54345
ALGAR,04030023541,22212023,1012108900,RUA VOLUNTARIO NELIO GUIMARAES,,SP,3544905,200KG7W|5M00G7W|5M00G9W,GSM|LTE|WCDMA,1825|874.5,1730|829.5,200,,,028661005344,16.8|16.9,28|25,65|70,0,50,015121601350|032341303903,60|65,-20.77106,-47.84091,2023-04-25,2021-07-12,2028-11-29,20240103,3,200.0,3.54345
ALGAR,04030023541,22212023,1012108900,RUA VOLUNTARIO NELIO GUIMARAES,,SP,3544905,200KG7W|5M00G7W|5M00G9W,GSM|LTE|WCDMA,1825|874.5,1730|829.5,320,,,028661005344,16.8|16.9,28|25,65|70,0,50,015121601350|032341303903,60|65,-20.77106,-47.84091,2023-04-25,2021-07-12,2028-11-29,20240103,4,320.0,3.54345
ALGAR,50418418969,4942023,379991225,ROD SP 330,"KM 345,5",SP,3544905,200KG7W|10M0G7W,GSM|LTE,874.5,829.5,60,,,056001603518,14.4,25,68,0,50,110322001350,80,-20.89882,-47.89361,2023-03-10,2004-01-20,2028-11-29,20240103,1,60.0,4.789104999999999
ALGAR,50418418969,4942023,379991225,ROD SP 330,"KM 345,5",SP,3544905,200KG7W|10M0G7W,GSM|LTE,874.5,829.5,165,,,056001603518,14.4,25,68,0,50,110322001350,80,-20.89882,-47.89361,2023-03-10,2004-01-20,2028-11-29,20240103,2,165.0,4.789104999999999
ALGAR,50418418969,4942023,379991225,ROD SP 330,"KM 345,5",SP,3544905,200KG7W|10M0G7W,GSM|LTE,874.5,829.5,355,,,056001603518,14.4,25,68,0,50,110322001350,80,-20.89882,-47.89361,2023-03-10,2004-01-20,2028-11-29,20240103,4,355.0,4.789104999999999
