NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46662011|59592012|97692014|33092020|16952008,1005932988,"R ANTONIO RUVOLO, 21, JD. SOEIRO",,SP,3515707,200KG7W|20M0G7W|10M0G7W|15M0G7W|5M00G7W,GSM|LTE|WCDMA,1830|2650|803|1850|890|2135|2145,1820|2630|793|1835|880|2125|2135,30,Greenfield,sim,027331703519|012720905344,16.16|17.05|14.1|13.52|16.18,27.0|28.0|25.0|20.0,66.76|65.49|66.56|68.0|65.0,2.0,49.0,047451501882|056351705894|057731705894|033151401882|039721705894|027191702519|039201301882,40.0|80.0|59.98|60.0,-23.5275|-23.52711,-46.38139|-46.38116,2020-08-04,2018-03-16,2027-08-06|2027-10-18|2029-12-08|2021-06-20|2023-04-30,20240503,1,30.0,0.009495
CLARO,50409105090,46662011|97692014|59592012|33092020|16952008,1005932988,"R ANTONIO RUVOLO, 21, JD. SOEIRO",,SP,3515707,200KG7W|10M0G7W|20M0G7W|15M0G7W|5M00G7W,GSM|LTE|WCDMA,1830|803|2650|1850|890|2135|2145,1820|793|2630|1835|880|2125|2135,100,Greenfield,sim,027331703519|012720905344,16.16|14.1|17.05|13.52|16.18,27.0|25.0|28.0|20.0,66.76|66.56|65.49|68.0|65.0,2.0,49.0,047451501882|057731705894|056351705894|033151401882|039721705894|027191702519|039201301882,40.0|80.0|59.98|60.0,-23.5275|-23.52711,-46.38139|-46.38116,2020-08-04,2018-03-16,2027-08-06|2029-12-08|2027-10-18|2021-06-20|2023-04-30,20240503,2,100.0,0.009495
CLARO,50409105090,46662011|97692014|59592012|33092020|16952008,1005932988,"R ANTONIO RUVOLO, 21, JD. SOEIRO",,SP,3515707,200KG7W|10M0G7W|20M0G7W|15M0G7W|5M00G7W,GSM|LTE|WCDMA,1830|803|2650|1850|890|2135|2145,1820|793|2630|1835|880|2125|2135,260,Greenfield,sim,027331703519|012720905344,16.16|14.1|17.05|13.52|16.18,27.0|25.0|28.0|20.0,66.76|66.56|65.49|68.0|65.0,2.0,49.0,047451501882|057731705894|056351705894|033151401882|039721705894|027191702519|039201301882,40.0|80.0|59.98|60.0,-23.5275|-23.52711,-46.38139|-46.38116,2020-08-04,2018-03-16,2027-08-06|2029-12-08|2027-10-18|2021-06-20|2023-04-30,20240503,3,260.0,0.009495
CLARO,50409105090,59592012|97692014|46662011,1006616540,"AVENIDA DOM PEDRO II, 2800, CAMBIRI",,SP,3515707,20M0G7W|10M0G7W|5M00G7W,LTE|WCDMA,2650|803|890|894,2630|793|880|891.5,10,Greenfield,sim,027331703519|009371303519,17.05|14.1|14.89,28.0|25.0|30.0,65.49|66.56|65.28,0.0,47.0,056351705894|029361602519|039721705894,40.0|80.0,-23.55889,-46.36167,2018-05-14,2018-05-14,2027-10-18|2029-12-08|2027-08-06,20240503,1,10.0,0.43255
CLARO,50409105090,59592012|97692014|46662011,1006616540,"AVENIDA DOM PEDRO II, 2800, CAMBIRI",,SP,3515707,20M0G7W|10M0G7W|5M00G7W,LTE|WCDMA,2650|803|890|894,2630|793|880|891.5,120,Greenfield,sim,027331703519|009371303519,17.05|14.1|14.89,28.0|25.0|30.0,65.49|66.56|65.28,0.0,47.0,056351705894|029361602519|039721705894,40.0|80.0,-23.55889,-46.36167,2018-05-14,2018-05-14,2027-10-18|2029-12-08|2027-08-06,20240503,2,120.0,0.43255
CLARO,50409105090,59592012|97692014|46662011,1006616540,"AVENIDA DOM PEDRO II, 2800, CAMBIRI",,SP,3515707,20M0G7W|10M0G7W|5M00G7W,LTE|WCDMA,2650|803|890|894,2630|793|880|891.5,240,Greenfield,sim,027331703519|009371303519,17.05|14.1|14.89,28.0|25.0|30.0,65.49|66.56|65.28,0.0,47.0,056351705894|029361602519|039721705894,40.0|80.0,-23.55889,-46.36167,2018-05-14,2018-05-14,2027-10-18|2029-12-08|2027-08-06,20240503,3,240.0,0.43255
CLARO,50409105090,46662011|59592012|97692014|25152016|48372023|34672011,1007231324,R STELLA MAZZUCA,,SP,3515707,200KG7W|20M0G7W|10M0G7W|15M0G7W|5M00G7W,GSM|LTE|WCDMA,885|2640|798|1825|1842.5|2130|2140,840|2520|743|1730|1747.5|1940|1950,40,Greenfield,sim,012720905344|027331703519,13.52|17.05|14.1|16.16,20|28|25|27|26,68|65.49|66.56|66.76,2,47,039721705894|056351705894|057731705894|040952002519,80|40|60,-23.52402,-46.37308,2023-06-15,2018-10-22,2027-08-06,20240503,1,40.0,0.38737
CLARO,50409105090,46662011|59592012|97692014|25152016|48372023|34672011,1007231324,R STELLA MAZZUCA,,SP,3515707,200KG7W|5M00G7W|20M0G7W|10M0G7W|15M0G7W,GSM|WCDMA|LTE,885|2640|798|1825|1842.5|2130|2140,840|2520|743|1730|1747.5|1940|1950,140|150,Greenfield,sim,012720905344|027331703519,13.52|17.05|14.1|16.16,20|28|25|27|26,68|65.49|66.56|66.76,2|1,47,039721705894|056351705894|057731705894|040952002519,80|40|60,-23.52402,-46.37308,2023-06-15,2018-10-22,2027-08-06,20240503,2,150.0,0.38737
CLARO,50409105090,46662011|59592012|97692014|25152016|48372023|34672011,1007231324,R STELLA MAZZUCA,,SP,3515707,200KG7W|20M0G7W|10M0G7W|15M0G7W|5M00G7W,GSM|LTE|WCDMA,885|2640|798|1825|1842.5|2130|2140,840|2520|743|1730|1747.5|1940|1950,330,Greenfield,sim,012720905344|027331703519,13.52|17.05|14.1|16.16,20|28|25|27|26,68|65.49|66.56|66.76,2,47,039721705894|056351705894|057731705894|040952002519,80|40|60,-23.52402,-46.37308,2023-06-15,2018-10-22,2027-08-06,20240503,4,330.0,0.38737
CLARO,50409105090,46662011|59592012|97692014,1007413791,R CARLOS DE CAMPOS,,SP,3515707,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,885|2640|798,840|2520|743,80,Rooftop,sim,009371303519|027331703519,14.89|17.05|14.1,30|28|25,65.28|65.49|66.56,0,43,039721705894|056351705894|057731705894,80|40,-23.543228,-46.355022,2021-05-19,2018-09-11,2027-08-06|2027-10-18|2029-12-08,20240503,1,80.0,0.35474
CLARO,50409105090,59592012|97692014|46662011,1007413791,R CARLOS DE CAMPOS,,SP,3515707,20M0G7W|10M0G7W|200KG7W|5M00G7W,LTE|GSM|WCDMA,2640|798|885,2520|743|840,240|250,Rooftop,sim,027331703519|009371303519,17.05|14.1|14.89,28|25|30,65.49|66.56|65.28,0|1,43,056351705894|057731705894|039721705894,40|80,-23.543228,-46.355022,2021-05-19,2018-09-11,2027-10-18|2029-12-08|2027-08-06,20240503,3,245.0,0.35474
CLARO,50409105090,46662011|59592012|97692014,1007413791,R CARLOS DE CAMPOS,,SP,3515707,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,885|2640|798,840|2520|743,340,Rooftop,sim,009371303519|027331703519,14.89|17.05|14.1,30|28|25,65.28|65.49|66.56,4|0,43,039721705894|056351705894|057731705894,80|40,-23.543228,-46.355022,2021-05-19,2018-09-11,2027-08-06|2027-10-18|2029-12-08,20240503,4,340.0,0.35474
