NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|48352023|93522022|88532022|97812014|69272020,1001294952,AVENIDA BRASIL 660 EDIFICIO RES. TIETE,0,SP,3536703,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,70,Rooftop,,056001603518,11.96|16.15,25,74|65,0,61,016081103903|003531103903|031191601350|008041101882,60|20|40|88.1,-22.34664,-48.78439,2023-08-30,2015-03-06,2029-12-08|2023-04-30,20240503,1,70.0,0.214355
TIM,50010613854,47102015|48352023|93522022|88532022|97812014|69272020,1001294952,AVENIDA BRASIL 660 EDIFICIO RES. TIETE,0,SP,3536703,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,145,Rooftop,,056001603518,11.96|16.15,25,74|65,0,61,016081103903|003531103903|031191601350|008041101882,60|20|40|88.1,-22.34664,-48.78439,2023-08-30,2015-03-06,2029-12-08|2023-04-30,20240503,2,145.0,0.214355
TIM,50010613854,47102015|48352023|93522022|88532022|97812014|69272020,1001294952,AVENIDA BRASIL 660 EDIFICIO RES. TIETE,0,SP,3536703,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,310,Rooftop,,056001603518,11.96|16.15,25,74|65,0,61,016081103903|003531103903|031191601350|008041101882,60|20|40|88.1,-22.34664,-48.78439,2023-08-30,2015-03-06,2029-12-08|2023-04-30,20240503,4,310.0,0.214355
TIM,50010613854,97812014|47102015|48352023,1011875761,Rua Carlos Copede,Estrada Fazenda Itauna/ Chacara Pederneiras,SP,3536703,10M0G7W|5M00G7W,LTE,778|1812.5|1830,723|1717.5|1735,20|60,,,056001603518,11.96|16.15,25,74|65,-4,65,057731705894|006091702519,40,-22.368778,-48.775028,2023-08-30,2021-04-09,2029-12-08,20240503,1,40.0,1.30515
TIM,50010613854,97812014|47102015|48352023,1011875761,Rua Carlos Copede,Estrada Fazenda Itauna/ Chacara Pederneiras,SP,3536703,10M0G7W|5M00G7W,LTE,778|1812.5|1830,723|1717.5|1735,140,,,056001603518,11.96|16.15,25,74|65,-4,65,057731705894|006091702519,40,-22.368778,-48.775028,2023-08-30,2021-04-09,2029-12-08,20240503,2,140.0,1.30515
TIM,50010613854,47102015,1015101442,"RODOVIA COMANDANTE JOÃO RIBEIRO DE BARROS, S/N (KM 222 SP 225) - ZONA RURAL",,SP,3536703,200KG7W,GSM,1812.5,1717.5,150,,,005200301293,15.5,27,68,0,58,010641001882,20,-22.330556,-48.914444,2023-07-24,2023-07-24,2031-03-11,20240503,2,150.0,0.45944999999999997
TIM,50010613854,47102015,1015101442,"RODOVIA COMANDANTE JOÃO RIBEIRO DE BARROS, S/N (KM 222 SP 225) - ZONA RURAL",,SP,3536703,200KG7W,GSM,1812.5,1717.5,320,,,005200301293,15.5,27,68,0,58,010641001882,20,-22.330556,-48.914444,2023-07-24,2023-07-24,2031-03-11,20240503,4,320.0,0.45944999999999997
TIM,50010613854,47102015,1015101450,"RUA JACINTO GUIRALDELLE, 541 - CENTRO",,SP,3536703,200KG7W,GSM,1812.5,1717.5,20,,,007690501705,15,30,81.69,0,98,010641001882,20,-22.348181,-48.788208,2023-07-24,2023-07-24,2031-03-11,20240503,1,20.0,0.214355
TIM,50010613854,47102015,1015101450,"RUA JACINTO GUIRALDELLE, 541 - CENTRO",,SP,3536703,200KG7W,GSM,1812.5,1717.5,120,,,007690501705,15,30,81.69,0,98,010641001882,20,-22.348181,-48.788208,2023-07-24,2023-07-24,2031-03-11,20240503,2,120.0,0.214355
TIM,50010613854,47102015,1015101450,"RUA JACINTO GUIRALDELLE, 541 - CENTRO",,SP,3536703,200KG7W,GSM,1812.5,1717.5,290,,,007690501705,15,30,81.69,0,98,010641001882,20,-22.348181,-48.788208,2023-07-24,2023-07-24,2031-03-11,20240503,4,290.0,0.214355
