NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,155832022,1000580277,Rua Mirassol,,SP,3532504,5M00G7W,WCDMA,874.5,829.5,360,,,004170801705,14.9,26,85,2,60,000081201882,40,-20.810281,-49.6182,2023-11-17,2016-06-30,2028-11-29,20240503,0,360.0,1.8977899999999999
VIVO,50409146447,97432014,1000580277,Rua Mirassol,,SP,3532504,10M0G7W,LTE,788,733,30,,,024731703257,14.7,22,68,3,59,048811903257,40,-20.810281,-49.6182,2023-11-17,2016-06-30,2029-12-08,20240503,1,30.0,1.8977899999999999
VIVO,50409146447,155832022|97432014,1000580277,Rua Mirassol,,SP,3532504,5M00G7W|10M0G7W,WCDMA|LTE,874.5|788,829.5|733,110|130,,,004170801705|024731703257,14.9|14.7,26|22,85|68,2,60|59,000081201882|048811903257,40,-20.810281,-49.6182,2023-11-17,2016-06-30,2028-11-29|2029-12-08,20240503,2,120.0,1.8977899999999999
VIVO,50409146447,155832022|97432014,1000580277,Rua Mirassol,,SP,3532504,5M00G7W|10M0G7W,WCDMA|LTE,874.5|788,829.5|733,210|220,,,004170801705|024731703257,14.9|14.7,26|22,85|68,2|0,60|59,000081201882|048811903257,40,-20.810281,-49.6182,2023-11-17,2016-06-30,2028-11-29|2029-12-08,20240503,3,215.0,1.8977899999999999
VIVO,50409146447,97432014|155832022,1000581150,ÁREA NA FAZENDA BOA VISTA DOS CASTILHOS,SÍTIO NOSSA SENHORA APARECIDA,SP,3532504,10M0G7W|5M00G7W,LTE|WCDMA,788|890.75|874.5,733|845.75|829.5,20|30|50,Greenfield,sim|não,056001603518|025711005344|024731703257,13.5|14.9|14.7,25|26|22,63|85|68,3|4|6,60|58,057731705894|000081201882|048811903257,46|40,-20.9414,-49.6901,2023-11-17,2016-07-29,2029-12-08|2028-11-29,20240503,1,30.0,6.298095
VIVO,50409146447,97432014|155832022,1000581150,ÁREA NA FAZENDA BOA VISTA DOS CASTILHOS,SÍTIO NOSSA SENHORA APARECIDA,SP,3532504,10M0G7W|5M00G7W,LTE|WCDMA,788|890.75|874.5,733|845.75|829.5,100|150|160,Greenfield,sim|não,056001603518|025711005344|024731703257,13.5|14.9|14.7,25|26|22,63|85|68,0|4|5,60|58,057731705894|000081201882|048811903257,46|40,-20.9414,-49.6901,2023-11-17,2016-07-29,2029-12-08|2028-11-29,20240503,2,150.0,6.298095
VIVO,50409146447,97432014|155832022,1000581150,ÁREA NA FAZENDA BOA VISTA DOS CASTILHOS,SÍTIO NOSSA SENHORA APARECIDA,SP,3532504,10M0G7W|5M00G7W,LTE|WCDMA,788|890.75|874.5,733|845.75|829.5,270|280,Greenfield,sim|não,056001603518|025711005344|024731703257,13.5|14.9|14.7,25|26|22,63|85|68,3|4|7,60|58,057731705894|000081201882|048811903257,46|40,-20.9414,-49.6901,2023-11-17,2016-07-29,2029-12-08|2028-11-29,20240503,4,270.0,6.298095
VIVO,50409146447,97432014|155832022,1002052286,ÁREA NA FAZENDA BOA VISTA DOS CASTILHOS,,SP,3532504,10M0G7W|5M00G7W,LTE|WCDMA,788|874.5|890.75,733|829.5|845.75,50|75,Greenfield,sim,024731703257|029161203518,14.7|14.5,22|25,68|65,6|0,58|60,048811903257|008881101882,46|40,-20.9414,-49.6901,2023-11-22,2015-11-09,2029-12-08|2028-11-29,20240503,1,75.0,6.298095
VIVO,50409146447,155832022|97432014,1002052286,ÁREA NA FAZENDA BOA VISTA DOS CASTILHOS,,SP,3532504,5M00G7W|10M0G7W,WCDMA|LTE,890.75|874.5|788,845.75|829.5|733,130|160,Greenfield,sim,029161203518|024731703257,14.5|14.7,25|22,65|68,0|5,60|58,008881101882|048811903257,40|46,-20.9414,-49.6901,2023-11-22,2015-11-09,2028-11-29|2029-12-08,20240503,2,130.0,6.298095
VIVO,50409146447,155832022,1002052286,ÁREA NA FAZENDA BOA VISTA DOS CASTILHOS,,SP,3532504,5M00G7W,WCDMA,890.75|874.5,845.75|829.5,250,,,029161203518,14.5,25,65,0,60,008881101882,40,-20.9414,-49.6901,2023-11-22,2015-11-09,2028-11-29,20240503,3,250.0,6.298095
