NumEstacao,distance
1012109299,0.28
1012109280,0.28
1012109230,0.28
379991438,0.28
1012109221,0.28
1012109213,0.28
379991187,0.28
1012108853,0.28
1012108861,0.28
1012109663,0.28
1012111730,0.28
413166384,0.28
696402467,0.28
945005,0.28
1012077460,0.28
1012077702,0.28
1012077265,0.28
1012111714,0.28
1012077184,0.28
1012109736,0.28
1012111102,0.28
688681751,0.28
1012077117,0.28
1012077125,0.28
1012110955,0.28
1012110963,0.28
1012110971,0.28
1012110980,0.28
1012111676,0.28
1015286698,0.28
379991837,0.28
691742936,0.28
697633144,0.28
699355028,0.28
1012076986,0.28
1012076994,0.28
1012108918,0.28
946648,0.28
1012076870,0.28
1012076889,0.28
1012108900,0.28
379991225,0.28
1012074495,0.28
1012074460,0.28
379991721,0.28
1012074444,0.28
1012074436,0.28
1012074347,0.28
1012077044,0.28
505806690,0.28
1012069793,0.28
1012077052,0.28
1012069726,0.28
1012075297,0.28
1012076250,0.28
1012076269,0.28
1012108713,0.28
1012108721,0.28
1012108730,0.28
1012109493,0.28
1012109507,0.28
1012110157,0.28
1012110165,0.28
1012110173,0.28
1012110181,0.28
1012110190,0.28
1012110203,0.28
1012110211,0.28
1012110220,0.28
1012110238,0.28
1012110246,0.28
1012110254,0.28
1012110262,0.28
1012110270,0.28
1012110289,0.28
1012110297,0.28
1012110300,0.28
1014480059,0.28
1014480083,0.28
1015260281,0.28
1015260290,0.28
1015260303,0.28
379991241,0.28
379991268,0.28
379991292,0.28
379991314,0.28
379991330,0.28
379991780,0.28
404249736,0.28
404249752,0.28
404249760,0.28
413167020,0.28
441821235,0.28
441821286,0.28
4557239,0.28
691742944,0.28
692979956,0.28
1012010691,0.28
1012028558,0.28
1012077753,0.28
1012108780,0.28
1012109957,0.28
1012109965,0.28
413166422,0.28
1003704740,0.28
1012077095,0.05
1012109256,0.28
1012110998,0.28
1012111005,0.28
1012111013,0.28
379991489,0.05
1003685282,0.28
1012077133,0.28
1012109183,0.28
1012111030,0.28
413166732,0.28
946770,0.28
1000475490,0.28
1002026439,0.28
1005683112,0.28
1012108942,0.28
1012110432,0.28
1012110440,0.28
1012110459,0.28
1012110467,0.28
1012110475,0.28
404249795,0.28
688693490,0.28
692729496,0.28
800001257,0.28
700024395,0.28
700023275,0.28
700002413,0.28
699851726,0.28
700024352,0.28
699600880,0.28
692576983,0.28
691930457,0.28
691903166,0.28
691878455,0.28
691573760,0.28
690692609,0.28
696279088,0.28
690339780,0.28
690140886,0.28
690140878,0.28
691734569,0.28
691930295,0.28
691930350,0.28
690140800,0.28
690140789,0.28
690138601,0.28
691927804,0.28
691927812,0.28
690138598,0.28
690692684,0.28
691927120,0.28
691927758,0.28
691929670,0.28
692004629,0.28
690138580,0.28
691704090,0.28
691927820,0.28
690138571,0.28
691929718,0.28
690138512,0.28
690138482,0.28
690137966,0.28
691930481,0.28
689640650,0.28
689473710,0.28
689343272,0.28
689343230,0.28
689110367,0.28
689110308,0.28
689079915,0.094705
700021450,0.05
689074174,0.28
689073550,0.05
700021680,0.05
689073500,0.28
690994761,0.28
689073470,0.28
688476279,0.28
688459137,0.28
687613922,0.28
687533856,0.28
687529204,0.28
687529190,0.28
691929815,0.28
691930406,0.28
699600855,0.28
687528798,0.28
687528755,0.28
687528704,0.05
687528690,0.28
687528658,0.28
687528640,0.28
687528631,0.28
687528623,0.28
687528585,0.28
687528542,0.28
687528534,0.05
687528470,0.28
687528429,0.28
687528402,0.28
687528399,0.28
687528380,0.28
687528372,0.28
687528330,0.28
687528259,0.28
699851807,0.28
687528216,0.28
699601657,0.28
687528127,0.28
687528100,0.28
687527317,0.28
687527252,0.28
687526736,0.28
687526698,0.28
687526639,0.28
687525829,0.28
687525802,0.28
687525780,0.28
687525756,0.28
687525730,0.28
687525721,0.28
687525330,0.28
687525098,0.28
687525047,0.28
687525039,0.28
689110332,0.28
687525020,0.28
699608791,0.28
687524563,0.28
687524512,0.28
687524504,0.28
687524490,0.28
687524482,0.28
687524202,0.28
687524075,0.28
687524024,0.28
687522510,0.28
687522307,0.28
687485452,0.28
687481279,0.28
689073518,0.28
687476488,0.28
696492296,0.28
687476429,0.28
687476410,0.28
687476372,0.28
687476364,0.28
687476356,0.28
687472873,0.28
687472822,0.28
687472776,0.28
687472733,0.28
687472717,0.28
687472695,0.28
687472687,0.28
687472660,0.28
687472610,0.28
687472571,0.28
687472547,0.28
687472512,0.28
687460166,0.28
687388732,0.05
689110588,0.05
687388716,0.05
689110472,0.05
687388686,0.28
689079931,0.28
687388660,0.05
689068115,0.05
687388651,0.28
687388406,0.28
689110316,0.28
687387523,0.05
689079966,0.05
687387434,0.05
689079893,0.05
687384745,0.05
689068107,0.05
699354927,0.28
687384729,0.05
689073321,0.05
687383455,0.28
689073410,0.28
687382998,0.28
689073402,0.28
687381568,0.28
689073399,0.28
687381525,0.05
687380898,0.050725
689074450,0.050725
687380855,0.05
689073674,0.05
687380189,0.28
689073445,0.28
687374340,0.28
687374308,0.28
687374294,0.28
687374286,0.28
687374251,0.28
699601673,0.28
687374243,0.28
687367425,0.05
687367425,0.05
689073526,0.05
687366020,0.28
686756495,0.28
684407361,0.28
683602918,0.28
699353408,0.28
683107984,0.28
641263210,0.28
577092782,0.28
536447225,0.28
536376131,0.28
687388678,0.28
689068140,0.28
536376085,0.28
699068061,0.28
536375976,0.28
687384737,0.05
689073372,0.05
536375968,0.28
689244339,0.28
536375909,0.28
536375500,0.28
536375020,0.28
633046,0.28
536068658,0.28
691840890,0.28
699600669,0.28
535977352,0.28
535811756,0.28
698106571,0.28
535648308,0.28
693077409,0.28
535648286,0.28
535811608,0.28
691921482,0.28
691931747,0.28
534854800,0.28
534791905,0.28
693077190,0.28
697561879,0.28
699298970,0.28
880965,0.28
534787320,0.28
689073461,0.28
699600642,0.28
534607209,0.28
534607276,0.28
687384214,0.05
689068050,0.05
534606202,0.28
534606148,0.28
534606121,0.28
534605893,0.28
5143853,0.28
5136989,0.28
534791832,0.28
688302890,0.28
443215030,0.28
442795408,0.28
442795386,0.28
442753225,0.28
534607292,0.28
691840911,0.28
442752814,0.28
687525357,0.28
442159366,0.28
426613732,0.28
699600588,0.28
426613716,0.28
426613694,0.28
426613686,0.28
426613660,0.28
413164055,0.05
689145799,0.05
413164004,0.28
413163989,0.28
631357831,0.28
690187289,0.28
699067847,0.28
699851742,0.28
699851823,0.28
413163890,0.05
689080000,0.05
413163830,0.28
689110480,0.28
413160157,0.05
689073577,0.05
413160130,0.28
413160114,0.28
413159469,0.28
690816138,0.28
693119276,0.28
699600936,0.28
4120345,0.28
411065416,0.28
689073356,0.28
411065394,0.05
689079982,0.05
696521350,0.05
411065297,0.28
689073348,0.28
411065203,0.10371999999999999
413158381,0.28
689073542,0.05
696542048,0.05
411065173,0.28
689073607,0.28
699600332,0.28
411065076,0.28
411065300,0.28
689073640,0.28
699600685,0.28
411065025,0.05
689073585,0.05
699336317,0.28
411063979,0.05
689073330,0.05
411063928,0.28
699067308,0.28
410916587,0.28
4032047,0.28
411065033,0.05
411065033,0.05
689073437,0.05
403140072,0.28
403101360,0.28
403101158,0.28
403101140,0.28
403101000,0.28
687472504,0.28
689110340,0.28
691929920,0.28
403100887,0.28
403093295,0.28
403092795,0.28
699600812,0.28
403007852,0.28
442802307,0.28
403007801,0.28
441564429,0.28
442802668,0.28
403006465,0.28
699864925,0.28
399678689,0.28
399678484,0.28
399676406,0.28
399676309,0.28
399676198,0.28
399676171,0.28
534787380,0.28
399669574,0.28
399669507,0.28
689838727,0.28
399669485,0.28
399669418,0.28
536375003,0.28
690647883,0.28
691930082,0.28
399662910,0.28
688095593,0.28
396839002,0.28
699851297,0.28
396832156,0.28
396832121,0.28
396831761,0.28
396831419,0.28
396831362,0.28
699335701,0.28
396831320,0.28
699305772,0.28
396824439,0.28
396824340,0.28
396824315,0.28
396723241,0.28
396723209,0.28
699322626,0.28
396722890,0.28
396722822,0.28
689073488,0.28
396722806,0.28
396722776,0.28
396722750,0.28
396722695,0.28
396722377,0.28
396722326,0.28
534791492,0.28
396722105,0.28
396721893,0.28
396721761,0.28
534791360,0.28
692660283,0.28
396721389,0.28
396721311,0.28
534791450,0.28
534791476,0.28
534791484,0.28
699242355,0.28
396697348,0.28
413163849,0.28
379981068,0.28
699601819,0.28
2776499,0.28
691920885,0.28
2337029,0.28
699601193,0.28
2336995,0.28
2156962,0.28
692660356,0.28
699353670,0.28
699600863,0.28
700057412,0.28
1183508,0.28
1014944829,0.28
396832130,0.28
1014944713,0.28
1014962584,0.28
534787428,0.28
535800142,0.28
1014944632,0.28
687374316,0.28
1014944586,0.28
1014962746,0.28
690140797,0.28
691803021,0.28
1014944551,0.28
1014962797,0.28
690134762,0.28
691929858,0.28
695774506,0.28
697683435,0.28
1014944535,0.28
1014962762,0.28
796786,0.28
1014691920,0.28
396722652,0.28
1014549270,0.28
2151243,0.28
441994784,0.28
441994792,0.28
1014549180,0.28
687251117,0.28
687462495,0.28
689073712,0.28
699601576,0.28
1014493703,0.28
687472636,0.28
1014493665,0.28
1014493673,0.28
691196117,0.28
692734040,0.28
1014493576,0.28
396722156,0.28
1014212950,0.28
1014212976,0.28
442035489,0.28
536447500,0.28
697683524,0.28
1014212534,0.28
3734790,0.28
1014212526,0.28
413159450,0.28
1013244378,0.28
534859054,0.28
641030789,0.28
691921504,0.28
1013193889,0.28
396722296,0.28
1013135196,0.28
1014944543,0.28
1014962770,0.28
399678476,0.28
1012997410,0.05
1014962789,0.05
1183583,0.05
396824412,0.28
1012916046,0.28
1014212569,0.28
687476500,0.28
1012916020,0.28
1014212550,0.28
687476445,0.28
1012821487,0.28
1013135161,0.28
396828035,0.28
443834717,0.28
443834725,0.28
641028261,0.28
1012821320,0.28
1014213018,0.28
1014213026,0.28
1014213034,0.28
1014493959,0.06906999999999999
1014944705,0.28
1014962673,0.28
443834741,0.28
443834750,0.28
443834768,0.28
443834776,0.28
443834784,0.28
627443745,0.28
689810768,0.05
699601851,0.28
1012821304,0.28
442795432,0.28
536374945,0.28
577900692,0.28
1012674123,0.28
688148549,0.28
699353823,0.28
1012674085,0.28
399678530,0.28
697437388,0.28
1012674069,0.28
441564330,0.28
441564631,0.28
443389098,0.28
1012674050,0.28
690286430,0.28
691878447,0.28
1012674042,0.28
699068100,0.28
797812,0.28
1012467900,0.28
2151219,0.28
1012405807,0.28
431055840,0.28
1012405742,0.28
1183567,0.28
699381258,0.28
1012405599,0.28
535648944,0.28
691734780,0.28
1012405572,0.28
505805600,0.28
535744382,0.28
1012405521,0.28
691726876,0.28
896330,0.28
1012148383,0.28
687472792,0.28
1011755073,0.28
396721273,0.28
699340152,0.28
1011755022,0.28
690286333,0.28
1011755006,0.28
700024344,0.28
1011590651,0.28
403092876,0.28
699296960,0.28
1011558430,0.28
1012821398,0.28
1013135200,0.28
1013193781,0.28
1013193790,0.28
442035420,0.28
442035446,0.28
443893292,0.28
